German_Column_Name	English_Column_Name_Long	English_Column_Name_Short	English_Column_Name_Long_Upper	English_Column_Name_Short_Upper
FUEcho_PAP	FUEcho_PAP	FUEcho_PAP	FUECHO_PAP	FUECHO_PAP
FUEcho_IVSd	FUEcho_IVSd	FUEcho_IVSd	FUECHO_IVSD	FUECHO_IVSD
FUEcho_MPG	FUEcho_MPG	FUEcho_MPG	FUECHO_MPG	FUECHO_MPG
FUEcho_Vmax	FUEcho_Vmax	FUEcho_Vmax	FUECHO_VMAX	FUECHO_VMAX
FUEcho_AÖF	FUEcho_AOF	FUEcho_AOF	FUECHO_AOF	FUECHO_AOF
FUEcho_Signs_of_SVD	FUEcho_Signs_of_SVD	FUEcho_Signs_of_SVD	FUECHO_SIGNS_OF_SVD	FUECHO_SIGNS_OF_SVD
FUEcho_SVD_VARC3	FUEcho_SVD_VARC3	FUEcho_SVD_VARC3	FUECHO_SVD_VARC3	FUECHO_SVD_VARC3
FUEcho_AI	FUEcho_AI	FUEcho_AI	FUECHO_AI	FUECHO_AI
FUEcho_PHT	FUEcho_PHT	FUEcho_PHT	FUECHO_PHT	FUECHO_PHT
FUEcho_DATUM	FUEcho_Date	FUEcho_Date	FUECHO_DATE	FUECHO_DATE
